id,name,position,total_points
3054850,Alvin Kamara,RB,336.3
3051392,Ezekiel Elliott,RB,197.7
13982,Julio Jones,WR,120.6
-16033,Ravens D/ST,D/ST,145.0
3121023,Dallas Goedert,TE,93.4
4052042,James Robinson,RB,225.9
3128390,Allen Lazard,WR,81.3
3139477,Patrick Mahomes,QB,374.4
2468609,Taysom Hill,QB,152.62
2972460,Breshad Perriman,WR,84.1
3915823,Keke Coutee,WR,70.5
12731,Ryan Succop,K,142.0
3134353,Tim Patrick,WR,135.7
2969962,Duke Johnson,RB,70.4
3115378,Russell Gage,WR,145.06
3916433,Jakobi Meyers,WR,113.02
4242214,Clyde Edwards-Helaire,RB,158.0
3116165,Chris Godwin,WR,158.5
3919596,Chris Carson,RB,169.3
2577327,Tyler Lockett,WR,215.4
3924365,Hayden Hurst,TE,121.1
3128720,Nick Chubb,RB,199.7
15818,Keenan Allen,WR,195.1
-16011,Colts D/ST,D/ST,157.0
3049899,Younghoe Koo,K,166.0
2576716,Jamison Crowder,WR,142.52
2975674,Robert Tonyan,TE,150.6
-16027,Buccaneers D/ST,D/ST,127.0
-16025,49ers D/ST,D/ST,101.0
2580,Drew Brees,QB,209.48
4035403,Denzel Mims,WR,49.2
12483,Matthew Stafford,QB,260.56
14881,Russell Wilson,QB,359.78
16737,Mike Evans,WR,213.6
3120348,JuJu Smith-Schuster,WR,185.6
-16002,Bills D/ST,D/ST,117.0
16731,Brandin Cooks,WR,191.5
3059915,Kareem Hunt,RB,199.5
3045147,James Conner,RB,147.1
3121427,Curtis Samuel,WR,173.6
13934,Antonio Brown,WR,94.6
16732,Eric Ebron,TE,113.8
-16005,Browns D/ST,D/ST,100.0
4240380,KJ Hamler,WR,75.1
4035676,Zack Moss,RB,94.6
9354,Robbie Gould,K,102.0
3052117,Phillip Lindsay,RB,62.5
3117251,Christian McCaffrey,RB,81.9
3916387,Lamar Jackson,QB,332.78
15795,DeAndre Hopkins,WR,230.3
2974858,Kenny Golladay,WR,55.8
3115394,DJ Chark Jr.,WR,127.1
13229,Rob Gronkowski,TE,126.8
3912550,Ronald Jones II,RB,172.3
15683,Justin Tucker,K,142.0
3045127,Wayne Gallman,RB,126.1
2971618,Nelson Agholor,WR,161.6
3122976,Jeff Wilson Jr.,RB,135.8
4243315,Salvon Ahmed,RB,63.5
4259979,Lynn Bowden Jr.,RB,39.58
-16022,Cardinals D/ST,D/ST,111.0
3128721,Sony Michel,RB,71.8
4241475,Henry Ruggs III,WR,71.1
2976316,Michael Thomas,WR,63.9
4045163,Miles Sanders,RB,156.4
2576925,Darren Waller,TE,225.1
3122840,Deshaun Watson,QB,369.32
2576414,Raheem Mostert,RB,91.7
2574808,Robby Anderson,WR,176.6
3025433,Mike Davis,RB,177.0
4360438,Brandon Aiyuk,WR,154.5
12460,Graham Gano,K,132.0
3910544,Joshua Kelley,RB,69.7
-16015,Dolphins D/ST,D/ST,127.0
2979843,Kenyan Drake,RB,179.7
3925347,Damien Harris,RB,88.8
4036348,Michael Gallup,WR,143.8
4242335,Jonathan Taylor,RB,234.8
16800,Davante Adams,WR,300.9
8439,Aaron Rodgers,QB,382.76
3915416,DJ Moore,WR,178.5
3917315,Kyler Murray,QB,378.74
2508176,David Johnson,RB,163.0
4241389,CeeDee Lamb,WR,180.7
3042778,Corey Davis,WR,158.9
3051909,Daniel Carlson,K,153.0
-16026,Seahawks D/ST,D/ST,95.0
16813,Logan Thomas,TE,140.62
15825,Le'Veon Bell,RB,66.6
4039359,Darrell Henderson Jr.,RB,122.3
3886818,Myles Gaskin,RB,143.7
-16020,Jets D/ST,D/ST,58.0
3116593,Dalvin Cook,RB,315.8
2576434,Melvin Gordon III,RB,182.4
16460,Adam Thielen,WR,217.0
2330,Tom Brady,QB,337.92
10636,Mason Crosby,K,120.0
3126486,Deebo Samuel,WR,64.2
12649,Julian Edelman,WR,45.72
12537,Jared Cook,TE,108.9
3052876,Will Fuller V,WR,162.4
-16003,Bears D/ST,D/ST,100.0
3046779,Jared Goff,QB,239.98
4239993,Tee Higgins,WR,161.1
3054212,Jonnu Smith,TE,119.7
4040655,Darnell Mooney,WR,121.6
4035004,Mecole Hardman,WR,107.6
-16014,Rams D/ST,D/ST,174.0
4047365,Josh Jacobs,RB,214.8
3040151,George Kittle,TE,101.1
4047650,DK Metcalf,WR,229.8
3116406,Tyreek Hill,WR,285.4
3055899,Harrison Butker,K,132.0
2976212,Stefon Diggs,WR,265.1
16804,John Brown,WR,80.3
4036133,T.J. Hockenson,TE,141.8
3916430,Nyheim Hines,RB,161.7
11674,Danny Amendola,WR,83.4
2572861,J.D. McKissic,RB,151.4
15826,Giovani Bernard,RB,134.6
3122899,Richie James,WR,52.9
3115306,Josh Reynolds,WR,98.3
14880,Kirk Cousins,QB,306.2
-16012,Chiefs D/ST,D/ST,107.0
2977187,Cooper Kupp,WR,162.7
3115364,Leonard Fournette,RB,114.0
3045144,Tyler Boyd,WR,153.14
2976592,Sterling Shepard,WR,129.5
