id,name,position,team,total_points,projected_total_points,rank
16460,Adam Thielen,WR,MIN,99.4,3.09,61
3128721,Sony Michel,RB,NE,146.6,9.72,28
16737,Mike Evans,WR,TB,199.2,0.0,12
17359,Damien Williams,RB,KC,126.1,12.19,35
12514,LeSean McCoy,RB,KC,104.6,5.15,42
3043275,Austin Hooper,TE,ATL,154.2,11.53,6
3916387,Lamar Jackson,QB,BAL,415.68,0.0,1
3055899,Harrison Butker,K,KC,162.0,10.59,1
16804,John Brown,WR,BUF,183.82,0.0,20
3116385,Joe Mixon,RB,CIN,207.9,15.54,13
3120348,JuJu Smith-Schuster,WR,PIT,92.2,6.88,66
3125404,Jacob Hollister,TE,SEA,73.4,7.39,23
-16009,Packers D/ST,D/ST,GB,109.0,146.63,17
-16012,Chiefs D/ST,D/ST,KC,143.0,151.14,8
3916148,Tony Pollard,RB,DAL,81.7,4.55,51
4361606,Darwin Thompson,RB,KC,27.6,3.38,89
3921564,Auden Tate,WR,CIN,81.5,0.0,71
3121410,Parris Campbell,WR,IND,29.1,0.0,130
3054850,Alvin Kamara,RB,NO,208.02,15.62,12
2977187,Cooper Kupp,WR,LAR,223.5,9.04,4
3043078,Derrick Henry,RB,TEN,285.6,18.03,3
3051876,Evan Engram,TE,NYG,87.4,0.0,18
3042519,Aaron Jones,RB,GB,290.3,17.56,2
11237,Matt Ryan,QB,ATL,267.34,18.1,11
3116165,Chris Godwin,WR,TB,233.1,0.0,2
13295,Emmanuel Sanders,WR,SF,157.3,10.97,33
3122672,Royce Freeman,RB,DEN,120.7,7.25,39
3128429,Courtland Sutton,WR,DEN,186.42,13.09,19
2980453,Jamaal Williams,RB,GB,126.8,0.0,34
2580,Drew Brees,QB,NO,224.76,20.13,21
-16023,Steelers D/ST,D/ST,PIT,199.0,155.94,2
-16020,Jets D/ST,D/ST,NYJ,146.0,136.29,7
11122,Matt Prater,K,DET,128.0,6.91,8
4527,Jason Witten,TE,DAL,108.4,7.18,12
15966,Chris Thompson,RB,WSH,72.6,8.38,55
4044452,Kaden Smith,TE,NYG,60.3,7.93,36
3045147,James Conner,RB,PIT,128.5,0.0,33
2976212,Stefon Diggs,WR,MIN,180.6,3.79,21
16731,Brandin Cooks,WR,LAR,96.5,8.39,62
2330,Tom Brady,QB,NE,263.68,18.94,12
13981,Mark Ingram II,RB,BAL,229.5,0.0,8
15072,Marvin Jones Jr.,WR,DET,162.9,0.0,27
2976592,Sterling Shepard,WR,NYG,113.3,11.1,50
2979477,Tevin Coleman,RB,SF,124.9,5.38,36
3046439,Hunter Henry,TE,LAC,122.7,9.14,9
3121427,Curtis Samuel,WR,CAR,144.7,9.88,36
-16018,Saints D/ST,D/ST,NO,141.0,131.2,10
15920,Latavius Murray,RB,NO,140.2,8.46,29
14922,Mohamed Sanu Sr.,WR,NE,94.6,7.5,63
3918639,Gerald Everett,TE,LAR,71.3,3.45,26
3124084,Joey Slye,K,CAR,123.0,6.43,11
-16005,Browns D/ST,D/ST,CLE,91.0,131.03,23
14876,Ryan Tannehill,QB,TEN,224.18,18.24,22
3117251,Christian McCaffrey,RB,CAR,413.2,22.55,1
3040151,George Kittle,TE,SF,180.0,16.19,2
3892889,Dede Westbrook,WR,JAX,123.7,8.42,45
3045144,Tyler Boyd,WR,CIN,177.9,10.76,23
3052117,Phillip Lindsay,RB,DEN,180.2,12.81,19
3116365,Mark Andrews,TE,BAL,175.2,0.0,4
4047650,DK Metcalf,WR,SEA,158.1,8.97,32
3066158,Tarik Cohen,RB,CHI,124.4,9.49,37
3049916,Matt Breida,RB,SF,93.8,3.68,45
3918298,Josh Allen,QB,BUF,288.56,0.88,6
2978109,Zach Pascal,WR,IND,114.8,6.45,49
15705,Josh Gordon,WR,SEA,60.2,0.0,89
11923,Stephen Hauschka,K,BUF,101.0,6.13,22
8664,Ryan Fitzpatrick,QB,MIA,241.46,14.33,17
3045523,Kendrick Bourne,WR,SF,82.8,5.87,70
3040035,Greg Ward Jr.,WR,PHI,45.9,10.07,102
-16011,Colts D/ST,D/ST,IND,129.0,133.55,13
15795,DeAndre Hopkins,WR,HOU,216.54,0.0,5
2977644,Todd Gurley II,RB,LAR,203.9,15.77,14
3116593,Dalvin Cook,RB,MIN,265.9,0.0,5
3917315,Kyler Murray,QB,ARI,285.28,17.38,8
16504,Jack Doyle,TE,IND,90.3,6.57,17
14053,Randall Cobb,WR,DAL,127.4,8.4,44
3115394,DJ Chark Jr.,WR,JAX,189.3,10.8,16
3052177,John Ross III,WR,CIN,81.0,8.32,72
-16025,49ers D/ST,D/ST,SF,182.0,142.85,3
3050487,Anthony Miller,WR,CHI,101.5,8.92,58
2969962,Duke Johnson,RB,HOU,132.0,3.27,32
2972460,Breshad Perriman,WR,TB,120.1,11.41,48
3071572,Keelan Cole,WR,JAX,66.7,5.01,86
14322,Dan Bailey,K,MIN,130.0,6.62,7
3051439,Boston Scott,RB,PHI,84.9,8.21,49
3043080,O.J. Howard,TE,TB,66.9,8.96,29
2576336,Ameer Abdullah,RB,MIN,31.8,8.59,83
3128720,Nick Chubb,RB,CLE,237.2,16.18,7
3115364,Leonard Fournette,RB,JAX,221.4,0.0,9
14924,T.Y. Hilton,WR,IND,102.6,10.71,57
15847,Travis Kelce,TE,KC,205.8,14.14,1
16725,Sammy Watkins,WR,KC,112.5,8.45,51
3925357,Calvin Ridley,WR,ATL,165.5,0.0,25
13217,Golden Tate,WR,NYG,127.7,8.7,43
16016,Kenny Stills,WR,HOU,100.1,5.49,60
3912550,Ronald Jones II,RB,TB,150.8,10.47,26
12483,Matthew Stafford,QB,DET,166.56,0.0,29
3135321,Hunter Renfrow,WR,OAK,109.0,8.63,55
3116164,Mike Gesicki,TE,MIA,110.5,8.31,11
2970090,Trey Edmunds,RB,PIT,17.0,0.0,98
3125403,Brian Hill,RB,ATL,62.2,4.12,60
4249087,Matt Gay,K,TB,137.0,7.85,4
-16028,Washington D/ST,D/ST,WSH,83.0,123.8,26
3115293,Kyle Allen,QB,CAR,177.48,0.06,28
2574630,Jeff Driskel,QB,DET,57.6,0.0,38
14881,Russell Wilson,QB,SEA,328.6,18.86,3
2508176,David Johnson,RB,ARI,123.5,3.83,38
12537,Jared Cook,TE,NO,146.0,9.35,7
14993,Greg Zuerlein,K,LAR,120.0,8.75,12
3059915,Kareem Hunt,RB,CLE,82.9,9.56,50
3116406,Tyreek Hill,WR,KC,159.3,13.54,30
-16017,Patriots D/ST,D/ST,NE,242.0,161.79,1
2979843,Kenyan Drake,RB,ARI,189.2,15.03,16
5528,Larry Fitzgerald,WR,ARI,139.9,9.07,37
2574808,Robby Anderson,WR,NYJ,136.3,9.01,39
3042778,Corey Davis,WR,TEN,93.6,6.95,64
8479,Frank Gore,RB,BUF,88.4,1.96,47
16143,Josh Hill,TE,NO,53.1,2.26,39
