id,name,position,team,total_points,projected_total_points,rank
3116593,Dalvin Cook,RB,MIN,0.0,279.35,2
3117251,Christian McCaffrey,RB,CAR,0.0,291.32,1
16800,Davante Adams,WR,GB,0.0,266.07,1
3043078,Derrick Henry,RB,TEN,0.0,272.49,3
3054850,Alvin Kamara,RB,NO,0.0,258.88,4
15847,Travis Kelce,TE,KC,0.0,252.53,1
3116406,Tyreek Hill,WR,KC,0.0,261.77,2
3139477,Patrick Mahomes,QB,KC,0.0,373.86,2
2976212,Stefon Diggs,WR,BUF,0.0,248.45,3
15795,DeAndre Hopkins,WR,ARI,0.0,234.78,4
4047650,DK Metcalf,WR,SEA,0.0,231.02,5
3929630,Saquon Barkley,RB,NYG,0.0,256.84,5
3918298,Josh Allen,QB,BUF,0.0,376.5,1
3040151,George Kittle,TE,SF,0.0,184.02,3
3128720,Nick Chubb,RB,CLE,0.0,241.11,8
3042519,Aaron Jones,RB,GB,0.0,236.62,9
2576925,Darren Waller,TE,OAK,0.0,194.41,2
4047646,A.J. Brown,WR,TEN,0.0,227.45,7
3051392,Ezekiel Elliott,RB,DAL,0.0,245.11,7
3925357,Calvin Ridley,WR,ATL,0.0,228.74,6
4242335,Jonathan Taylor,RB,IND,0.0,246.01,6
4262921,Justin Jefferson,WR,MIN,0.0,215.27,8
3917315,Kyler Murray,QB,ARI,0.0,356.15,3
3055899,Harrison Butker,K,KC,0.0,147.27,1
15818,Keenan Allen,WR,LAC,0.0,202.56,12
3068267,Austin Ekeler,RB,LAC,0.0,226.84,12
16737,Mike Evans,WR,TB,0.0,205.98,10
3121422,Terry McLaurin,WR,WSH,0.0,211.39,9
15683,Justin Tucker,K,BAL,0.0,142.57,2
4360294,Antonio Gibson,RB,WSH,0.0,233.48,10
3116365,Mark Andrews,TE,BAL,0.0,165.76,4
16799,Allen Robinson II,WR,CHI,0.0,197.55,15
4241457,Najee Harris,RB,PIT,0.0,231.16,11
3116385,Joe Mixon,RB,CIN,0.0,219.1,13
4241389,CeeDee Lamb,WR,DAL,0.0,202.62,11
4242214,Clyde Edwards-Helaire,RB,KC,0.0,217.68,14
-16027,Buccaneers D/ST,D/ST,TB,0.0,161.01,1
3916387,Lamar Jackson,QB,BAL,0.0,330.95,5
16460,Adam Thielen,WR,MIN,0.0,200.97,13
