"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Los Angeles Rams",LAR,"11","3 out of 5 stars","+1"
"2",1,"Pittsburgh Steelers",PIT,"7","2 out of 5 stars","-1"
"3",1,"Washington Football Team",WAS,"9","2 out of 5 stars","+2"
"4",1,"Baltimore Ravens",BAL,"8","2 out of 5 stars","-1"
"5",2,"Tampa Bay Buccaneers",TB,"9","5 out of 5 stars","-1"
"6",2,"San Francisco 49ers",SF,"6","3 out of 5 stars","0"
"7",2,"Indianapolis Colts",IND,"14","2 out of 5 stars","+1"
"8",3,"Buffalo Bills",BUF,"7","3 out of 5 stars","-1"
"9",3,"New England Patriots",NE,"14","0 out of 5 stars","0"
"10",3,"Kansas City Chiefs",KC,"12","1 out of 5 stars","+3"
"11",3,"New Orleans Saints",NO,"6","3 out of 5 stars","+3"
"12",3,"Miami Dolphins",MIA,"14","2 out of 5 stars","0"
"13",3,"Denver Broncos",DEN,"11","2 out of 5 stars","-3"
"14",3,"Cleveland Browns",CLE,"13","3 out of 5 stars","-3"
"15",4,"Los Angeles Chargers",LAC,"7","4 out of 5 stars","+9"
"16",4,"Chicago Bears",CHI,"10","2 out of 5 stars","+2"
"17",4,"Green Bay Packers",GB,"13","5 out of 5 stars","-2"
"18",4,"Seattle Seahawks",SEA,"9","4 out of 5 stars","-2"
"19",4,"Minnesota Vikings",MIN,"7","3 out of 5 stars","+2"
"20",4,"Arizona Cardinals",ARI,"12","3 out of 5 stars","-3"
"21",4,"Philadelphia Eagles",PHI,"14","4 out of 5 stars","+4"
"22",4,"New York Giants",NYG,"10","4 out of 5 stars","+1"
"23",5,"Tennessee Titans",TEN,"13","3 out of 5 stars","-4"
"24",5,"Carolina Panthers",CAR,"13","4 out of 5 stars","-2"
"25",5,"New York Jets",NYJ,"6","4 out of 5 stars","+4"
"26",5,"Dallas Cowboys",DAL,"7","5 out of 5 stars","-6"
"27",5,"Jacksonville Jaguars",JAC,"7","2 out of 5 stars","-1"
"28",5,"Atlanta Falcons",ATL,"6","5 out of 5 stars","0"
"29",5,"Houston Texans",HOU,"10","2 out of 5 stars","-2"
"30",5,"Cincinnati Bengals",CIN,"10","3 out of 5 stars","+1"
"31",5,"Las Vegas Raiders",LV,"8","4 out of 5 stars","-"
"32",5,"Detroit Lions",DET,"9","5 out of 5 stars","-2"
