"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Justin Tucker",BAL,"8","4 out of 5 stars","0"
"2",1,"Harrison Butker",KC,"12","2 out of 5 stars","0"
"3",1,"Younghoe Koo",ATL,"6","3 out of 5 stars","0"
"4",2,"Greg Zuerlein",DAL,"7","4 out of 5 stars","+2"
"5",2,"Jason Sanders",MIA,"14","4 out of 5 stars","0"
"6",2,"Tyler Bass",BUF,"7","3 out of 5 stars","-2"
"7",2,"Rodrigo Blankenship",IND,"14","3 out of 5 stars","0"
"8",2,"Matt Prater",ARI,"12","4 out of 5 stars","+5"
"9",2,"Ryan Succop",TB,"9","2 out of 5 stars","-1"
"10",3,"Robbie Gould",SF,"6","4 out of 5 stars","+6"
"11",3,"Jason Myers",SEA,"9","4 out of 5 stars","0"
"12",3,"Mason Crosby",GB,"13","0 out of 5 stars","-2"
"13",3,"Daniel Carlson",LV,"8","2 out of 5 stars","-4"
"14",3,"Brandon McManus",DEN,"11","1 out of 5 stars","+1"
"15",3,"Matt Gay",LAR,"11","5 out of 5 stars","-3"
"16",4,"Michael Badgley",FA,"-","-","+10"
"17",4,"Chris Boswell",PIT,"7","2 out of 5 stars","+1"
"18",4,"Dustin Hopkins",WAS,"9","2 out of 5 stars","+11"
"19",4,"Jake Elliott",PHI,"14","4 out of 5 stars","+13"
"20",4,"Wil Lutz",NO,"6","4 out of 5 stars","-6"
"21",4,"Josh Lambo",JAC,"7","5 out of 5 stars","+4"
"22",4,"Graham Gano",NYG,"10","2 out of 5 stars","-5"
"23",4,"Ka'imi Fairbairn",HOU,"10","3 out of 5 stars","+4"
"24",4,"Cairo Santos",CHI,"10","2 out of 5 stars","-4"
"25",5,"Joey Slye",FA,"-","-","-4"
"26",5,"Evan McPherson",CIN,"10","1 out of 5 stars","-7"
"27",5,"Nick Folk",FA,"-","-","-5"
"28",5,"Cody Parkey",CLE,"13","2 out of 5 stars","+3"
"29",5,"Randy Bullock",FA,"-","-","+5"
"30",5,"Greg Joseph",MIN,"7","0 out of 5 stars","+8"
"31",5,"Austin Seibert",FA,"-","-","-3"
"32",5,"Sam Ficken",TEN,"13","2 out of 5 stars","-9"
"33",5,"Zane Gonzalez",FA,"-","-","-"
"34",5,"Chase McLaughlin",CLE,"13","2 out of 5 stars","-4"
"35",5,"Ryan Santoso",CAR,"13","5 out of 5 stars","-"
"36",6,"Stephen Gostkowski",FA,"-","-","-3"
"37",6,"Matt Ammendola",NYJ,"6","5 out of 5 stars","-1"
"38",6,"Tucker McCann",TEN,"13","2 out of 5 stars","-3"
"39",6,"Sam Sloman",PIT,"7","2 out of 5 stars","-"
"40",6,"Dan Bailey",FA,"-","-","-"
"41",6,"Aldrick Rosas",NO,"6","4 out of 5 stars","-4"
"42",6,"Tristan Vizcaino",LAC,"7","2 out of 5 stars","-"
"43",6,"Quinn Nordin",NE,"14","4 out of 5 stars","-"
"44",6,"Jose Borregales",TB,"9","2 out of 5 stars","-"
"45",6,"Chris Naggar",NYJ,"6","5 out of 5 stars","-"
"46",6,"Andrew Jacas",SF,"6","4 out of 5 stars","-"
"47",6,"Brett Maher",NO,"6","4 out of 5 stars","-"
"48",6,"Riley Patterson",MIN,"7","0 out of 5 stars","-"
