"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Patrick Mahomes II",KC,"12","4 out of 5 stars","0"
"2",1,"Josh Allen",BUF,"7","1 out of 5 stars","0"
"3",1,"Kyler Murray",ARI,"12","2 out of 5 stars","0"
"4",1,"Lamar Jackson",BAL,"8","2 out of 5 stars","0"
"5",2,"Dak Prescott",DAL,"7","2 out of 5 stars","+1"
"6",2,"Russell Wilson",SEA,"9","0 out of 5 stars","+1"
"7",2,"Aaron Rodgers",GB,"13","2 out of 5 stars","-2"
"8",2,"Justin Herbert",LAC,"7","2 out of 5 stars","0"
"9",3,"Tom Brady",TB,"9","2 out of 5 stars","0"
"10",3,"Ryan Tannehill",TEN,"13","2 out of 5 stars","+1"
"11",3,"Jalen Hurts",PHI,"14","4 out of 5 stars","+1"
"12",3,"Matthew Stafford",LAR,"11","4 out of 5 stars","-2"
"13",3,"Joe Burrow",CIN,"10","2 out of 5 stars","0"
"14",3,"Matt Ryan",ATL,"6","3 out of 5 stars","+1"
"15",3,"Trevor Lawrence",JAC,"7","4 out of 5 stars","-1"
"16",3,"Kirk Cousins",MIN,"7","3 out of 5 stars","+2"
"17",4,"Tua Tagovailoa",MIA,"14","4 out of 5 stars","+4"
"18",4,"Baker Mayfield",CLE,"13","3 out of 5 stars","-2"
"19",4,"Ryan Fitzpatrick",WAS,"9","4 out of 5 stars","+6"
"20",4,"Ben Roethlisberger",PIT,"7","4 out of 5 stars","-1"
"21",4,"Justin Fields",CHI,"10","2 out of 5 stars","-4"
"22",4,"Derek Carr",LV,"8","3 out of 5 stars","+1"
"23",4,"Trey Lance",SF,"6","5 out of 5 stars","-3"
"24",4,"Daniel Jones",NYG,"10","4 out of 5 stars","+7"
"25",4,"Jameis Winston",NO,"6","3 out of 5 stars","-3"
"26",4,"Carson Wentz",IND,"14","4 out of 5 stars","+2"
"27",4,"Sam Darnold",CAR,"13","4 out of 5 stars","+5"
"28",4,"Zach Wilson",NYJ,"6","3 out of 5 stars","-1"
"29",5,"Jared Goff",DET,"9","1 out of 5 stars","+1"
"30",5,"Teddy Bridgewater",DEN,"11","5 out of 5 stars","+5"
"31",5,"Taysom Hill",NO,"6","3 out of 5 stars","-2"
"32",5,"Jimmy Garoppolo",SF,"6","5 out of 5 stars","+1"
"33",5,"Drew Lock",DEN,"11","5 out of 5 stars","+4"
"34",5,"Mac Jones",NE,"14","5 out of 5 stars","+2"
"35",5,"Cam Newton",FA,"-","-","-9"
"36",5,"Tyrod Taylor",HOU,"10","4 out of 5 stars","-2"
"37",5,"Deshaun Watson",HOU,"10","4 out of 5 stars","-13"
"38",5,"Andy Dalton",CHI,"10","2 out of 5 stars","0"
"39",6,"Davis Mills",HOU,"10","4 out of 5 stars","-"
"40",6,"Gardner Minshew II",PHI,"14","4 out of 5 stars","-"
"41",6,"Taylor Heinicke",WAS,"9","4 out of 5 stars","-"
