"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"13","2 out of 5 stars","0"
"2",1,"Dalvin Cook",MIN,"7","3 out of 5 stars","0"
"3",1,"Alvin Kamara",NO,"6","2 out of 5 stars","+1"
"4",1,"Derrick Henry",TEN,"13","3 out of 5 stars","-1"
"5",2,"Ezekiel Elliott",DAL,"7","2 out of 5 stars","0"
"6",2,"Aaron Jones",GB,"13","0 out of 5 stars","+1"
"7",2,"Saquon Barkley",NYG,"10","2 out of 5 stars","+1"
"8",2,"Jonathan Taylor",IND,"14","4 out of 5 stars","+1"
"9",2,"Nick Chubb",CLE,"13","4 out of 5 stars","-3"
"10",2,"Austin Ekeler",LAC,"7","4 out of 5 stars","0"
"11",3,"Antonio Gibson",WAS,"9","3 out of 5 stars","+1"
"12",3,"Najee Harris",PIT,"7","5 out of 5 stars","-1"
"13",3,"Joe Mixon",CIN,"10","3 out of 5 stars","0"
"14",3,"Clyde Edwards-Helaire",KC,"12","4 out of 5 stars","0"
"15",3,"Chris Carson",SEA,"9","1 out of 5 stars","+1"
"16",4,"David Montgomery",CHI,"10","3 out of 5 stars","-1"
"17",4,"D'Andre Swift",DET,"9","0 out of 5 stars","+1"
"18",4,"James Robinson",JAC,"7","4 out of 5 stars","+2"
"19",4,"Miles Sanders",PHI,"14","3 out of 5 stars","0"
"20",4,"Josh Jacobs",LV,"8","2 out of 5 stars","-3"
"21",4,"Darrell Henderson",LAR,"11","4 out of 5 stars","0"
"22",4,"Mike Davis",ATL,"6","2 out of 5 stars","+2"
"23",4,"Gus Edwards",BAL,"8","4 out of 5 stars","+13"
"24",4,"Kareem Hunt",CLE,"13","4 out of 5 stars","-1"
"25",4,"Myles Gaskin",MIA,"14","4 out of 5 stars","-3"
"26",4,"Damien Harris",NE,"14","3 out of 5 stars","0"
"27",5,"Javonte Williams",DEN,"11","5 out of 5 stars","0"
"28",5,"Chase Edmonds",ARI,"12","3 out of 5 stars","0"
