"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Travis Kelce",KC,"12","3 out of 5 stars","0"
"2",1,"Darren Waller",LV,"8","4 out of 5 stars","0"
"3",1,"George Kittle",SF,"6","4 out of 5 stars","0"
"4",1,"Mark Andrews",BAL,"8","4 out of 5 stars","+1"
"5",1,"T.J. Hockenson",DET,"9","4 out of 5 stars","+1"
"6",1,"Kyle Pitts",ATL,"6","2 out of 5 stars","-2"
"7",2,"Noah Fant",DEN,"11","4 out of 5 stars","+1"
"8",2,"Logan Thomas",WAS,"9","3 out of 5 stars","-1"
"9",2,"Robert Tonyan",GB,"13","3 out of 5 stars","0"
"10",2,"Dallas Goedert",PHI,"14","3 out of 5 stars","0"
"11",2,"Tyler Higbee",LAR,"11","2 out of 5 stars","0"
"12",3,"Mike Gesicki",MIA,"14","4 out of 5 stars","+1"
"13",3,"Jonnu Smith",NE,"14","5 out of 5 stars","+2"
"14",3,"Evan Engram",NYG,"10","3 out of 5 stars","+2"
"15",3,"Rob Gronkowski",TB,"9","3 out of 5 stars","-3"
"16",3,"Irv Smith Jr.",MIN,"7","2 out of 5 stars","-2"
"17",3,"Hunter Henry",NE,"14","5 out of 5 stars","+1"
"18",3,"Gerald Everett",SEA,"9","1 out of 5 stars","+3"
"19",4,"Cole Kmet",CHI,"10","1 out of 5 stars","+11"
"20",4,"Jared Cook",LAC,"7","3 out of 5 stars","0"
"21",4,"Blake Jarwin",DAL,"7","2 out of 5 stars","+3"
"22",4,"Austin Hooper",CLE,"13","2 out of 5 stars","+7"
"23",4,"Zach Ertz",PHI,"14","3 out of 5 stars","-6"
"24",4,"Anthony Firkser",TEN,"13","2 out of 5 stars","+4"
"25",4,"Adam Trautman",NO,"6","4 out of 5 stars","-3"
"26",4,"Eric Ebron",PIT,"7","5 out of 5 stars","-3"
"27",4,"Hayden Hurst",ATL,"6","2 out of 5 stars","-2"
"28",4,"Dawson Knox",BUF,"7","2 out of 5 stars","-2"
"29",4,"O.J. Howard",TB,"9","3 out of 5 stars","+2"
"30",4,"Dan Arnold",CAR,"13","4 out of 5 stars","+3"
"31",5,"Jimmy Graham",CHI,"10","1 out of 5 stars","+1"
"32",5,"Jack Doyle",IND,"14","4 out of 5 stars","+11"
"33",5,"Chris Herndon IV",MIN,"7","2 out of 5 stars","+8"
"34",5,"Kyle Rudolph",NYG,"10","3 out of 5 stars","+17"
"35",5,"Dalton Schultz",DAL,"7","2 out of 5 stars","+1"
"36",5,"Pat Freiermuth",PIT,"7","5 out of 5 stars","-17"
"37",5,"Ian Thomas",CAR,"13","4 out of 5 stars","-"
"38",5,"Mo Alie-Cox",IND,"14","4 out of 5 stars","-3"
"39",5,"Donald Parham Jr.",LAC,"7","3 out of 5 stars","0"
"40",5,"Jordan Akins",HOU,"10","4 out of 5 stars","-13"
"41",5,"Will Dissly",SEA,"9","1 out of 5 stars","+5"
"42",6,"David Njoku",CLE,"13","2 out of 5 stars","+2"
"43",6,"C.J. Uzomah",CIN,"10","2 out of 5 stars","-6"
"44",6,"Harrison Bryant",CLE,"13","2 out of 5 stars","+9"
"45",6,"Tyler Conklin",MIN,"7","2 out of 5 stars","+5"
"46",6,"Drew Sample",CIN,"10","2 out of 5 stars","+6"
"47",6,"Albert Okwuegbunam",DEN,"11","4 out of 5 stars","0"
"48",6,"Tyler Kroft",NYJ,"6","3 out of 5 stars","-8"
