"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Davante Adams",GB,"13","1 out of 5 stars","0"
"2",1,"Tyreek Hill",KC,"12","3 out of 5 stars","0"
"3",1,"Stefon Diggs",BUF,"7","3 out of 5 stars","0"
"4",2,"Calvin Ridley",ATL,"6","4 out of 5 stars","+1"
"5",2,"DeAndre Hopkins",ARI,"12","2 out of 5 stars","-1"
"6",2,"D.K. Metcalf",SEA,"9","1 out of 5 stars","0"
"7",2,"A.J. Brown",TEN,"13","3 out of 5 stars","+1"
"8",2,"Justin Jefferson",MIN,"7","3 out of 5 stars","-1"
"9",2,"Keenan Allen",LAC,"7","3 out of 5 stars","0"
"10",3,"Allen Robinson II",CHI,"10","3 out of 5 stars","+1"
"11",3,"Terry McLaurin",WAS,"9","3 out of 5 stars","-1"
"12",3,"CeeDee Lamb",DAL,"7","1 out of 5 stars","0"
"13",3,"Robert Woods",LAR,"11","5 out of 5 stars","+1"
"14",3,"Mike Evans",TB,"9","2 out of 5 stars","-1"
"15",3,"Amari Cooper",DAL,"7","1 out of 5 stars","+2"
"16",3,"Chris Godwin",TB,"9","2 out of 5 stars","-1"
"17",4,"D.J. Moore",CAR,"13","5 out of 5 stars","+5"
"18",4,"Julio Jones",TEN,"13","3 out of 5 stars","-2"
"19",4,"Cooper Kupp",LAR,"11","5 out of 5 stars","-1"
"20",4,"Tyler Lockett",SEA,"9","1 out of 5 stars","0"
"21",4,"Diontae Johnson",PIT,"7","2 out of 5 stars","0"
"22",4,"Adam Thielen",MIN,"7","3 out of 5 stars","-3"
"23",4,"Tee Higgins",CIN,"10","2 out of 5 stars","+1"
"24",4,"Brandon Aiyuk",SF,"6","5 out of 5 stars","-1"
"25",4,"Odell Beckham Jr.",CLE,"13","1 out of 5 stars","+2"
"26",4,"Chase Claypool",PIT,"7","2 out of 5 stars","-1"
"27",5,"Kenny Golladay",NYG,"10","3 out of 5 stars","+1"
