tiers,pos,name,bye,rk,team,sos,ecr_vs_adp,player_id,ppr_rank,avg_draft_pos,pos_diff,ppr_auc_value,avg_auc_value,auc_diff
1,WR,Davante Adams,13,1,GB,1,0,16800,7,7,0,51,56,5
1,WR,Tyreek Hill,12,2,KC,3,0,3116406,13,11,-2,44,51,7
1,WR,Stefon Diggs,7,3,BUF,3,0,2976212,16,16,0,40,45,5
1,TE,Mark Andrews,8,4,BAL,4,1,3116365,63,48,-15,9,11,2
1,TE,T.J. Hockenson,9,5,DET,4,1,4036133,64,62,-2,8,8,0
1,TE,Travis Kelce,12,1,KC,3,0,15847,6,8,2,53,55,2
1,TE,Darren Waller,8,2,LV,4,0,2576925,24,25,1,32,32,0
1,TE,George Kittle,6,3,SF,4,0,3040151,29,27,-2,28,30,2
1,TE,Kyle Pitts,6,6,ATL,2,-2,4360248,65,52,-13,8,13,5
1,RB,Alvin Kamara,6,3,NO,2,1,3054850,4,4,0,58,65,7
1,RB,Christian McCaffrey,13,1,CAR,2,0,3117251,1,1,0,62,72,10
1,RB,Dalvin Cook,7,2,MIN,3,0,3116593,2,2,0,59,67,8
1,RB,Derrick Henry,13,4,TEN,3,-1,3043078,5,4,-1,56,64,8
1,QB,Patrick Mahomes,12,1,KC,4,0,3139477,49,19,-30,13,34,21
1,QB,Josh Allen,7,2,BUF,1,0,3918298,51,30,-21,13,23,10
1,QB,Kyler Murray,12,3,ARI,2,0,3917315,66,40,-26,8,16,8
1,QB,Lamar Jackson,8,4,BAL,2,0,3916387,74,46,-28,6,14,8
1,K,Justin Tucker,8,1,BAL,4,0,15683,241,105,-136,1,3,2
1,K,Harrison Butker,12,2,KC,2,0,3055899,240,97,-143,1,3,2
1,K,Younghoe Koo,6,3,ATL,3,0,3049899,249,132,-117,1,2,1
1,DST,Washington D/ST,9,3,WAS,2,2,-16028,228,116,-112,1,2,1
1,DST,Rams D/ST,11,1,LAR,3,1,-16014,236,125,-111,1,2,1
1,DST,Steelers D/ST,7,2,PIT,2,-1,-16023,226,101,-125,1,2,1
1,DST,Ravens D/ST,8,4,BAL,2,-1,-16033,227,104,-123,1,2,1
2,WR,Calvin Ridley,6,4,ATL,4,1,3925357,18,20,2,37,39,2
2,WR,A.J. Brown,13,7,TEN,3,1,4047646,20,25,5,35,33,-2
2,WR,DK Metcalf,9,6,SEA,1,0,4047650,19,18,-1,36,40,4
2,WR,Keenan Allen,7,9,LAC,3,0,15818,26,29,3,30,29,-1
2,WR,DeAndre Hopkins,12,5,ARI,2,-1,15795,17,18,1,38,41,3
2,WR,Justin Jefferson,7,8,MIN,3,-1,4262921,21,25,4,34,35,1
2,TE,Noah Fant,11,7,DEN,4,1,4036131,94,92,-2,4,3,-1
2,TE,Robert Tonyan,13,9,GB,3,0,2975674,125,95,-30,2,3,1
2,TE,Dallas Goedert,14,10,PHI,3,0,3121023,124,99,-25,2,2,0
2,TE,Tyler Higbee,11,11,LAR,2,0,2573401,159,131,-28,1,1,0
2,TE,Logan Thomas,9,8,WAS,3,-1,16813,85,73,-12,5,5,0
2,RB,Aaron Jones,13,6,GB,0,1,3042519,11,12,1,45,50,5
2,RB,Saquon Barkley,10,7,NYG,2,1,3929630,3,7,4,59,57,-2
2,RB,Jonathan Taylor,14,8,IND,4,1,4242335,9,12,3,48,49,1
2,RB,Ezekiel Elliott,7,5,DAL,2,0,3051392,8,8,0,50,55,5
2,RB,Austin Ekeler,7,10,LAC,4,0,3068267,10,14,4,46,47,1
2,RB,Nick Chubb,13,9,CLE,4,-3,3128720,12,12,0,45,50,5
2,QB,Dak Prescott,7,5,DAL,2,1,2577417,72,58,-14,7,10,3
2,QB,Russell Wilson,9,6,SEA,0,1,14881,90,58,-32,4,11,7
2,QB,Justin Herbert,7,8,LAC,2,0,4038941,92,68,-24,4,8,4
2,QB,Aaron Rodgers,13,7,GB,2,-2,8439,88,49,-39,4,12,8
2,K,Matt Prater,12,8,ARI,4,5,11122,259,166,-93,0,0,0
2,K,Greg Zuerlein,7,4,DAL,4,2,14993,252,163,-89,1,0,-1
2,K,Jason Sanders,14,5,MIA,4,0,3124679,248,145,-103,1,1,0
2,K,Rodrigo Blankenship,14,7,IND,3,0,3915165,488,166,-322,0,0,0
2,K,Ryan Succop,9,9,TB,2,-1,12731,363,169,-194,0,0,0
2,K,Tyler Bass,7,6,BUF,3,-2,3917232,255,158,-97,1,1,0
2,DST,Colts D/ST,14,7,IND,2,1,-16011,238,154,-84,0,0,0
2,DST,49ers D/ST,6,6,SF,3,0,-16025,229,123,-106,1,1,0
2,DST,Buccaneers D/ST,9,5,TB,5,-1,-16027,223,82,-141,1,3,2
3,WR,Amari Cooper,7,15,DAL,1,2,2976499,35,41,6,22,20,-2
3,WR,Allen Robinson II,10,10,CHI,3,1,16799,27,34,7,30,26,-4
3,WR,Robert Woods,11,13,LAR,5,1,15880,33,39,6,24,21,-3
3,WR,CeeDee Lamb,7,12,DAL,1,0,4241389,28,36,8,29,27,-2
3,WR,Terry McLaurin,9,11,WAS,3,-1,3121422,25,30,5,31,29,-2
3,WR,Mike Evans,9,14,TB,2,-1,16737,34,34,0,23,23,0
3,WR,Chris Godwin,9,16,TB,2,-1,3116165,39,47,8,21,18,-3
3,TE,Gerald Everett,9,18,SEA,1,3,3918639,352,169,-183,0,0,0
3,TE,Jonnu Smith,14,13,NE,5,2,3054212,123,118,-5,2,1,-1
3,TE,Evan Engram,10,14,NYG,3,2,3051876,160,150,-10,1,0,-1
3,TE,Mike Gesicki,14,12,MIA,4,1,3116164,126,113,-13,2,1,-1
3,TE,Hunter Henry,14,17,NE,5,1,3046439,179,163,-16,0,0,0
3,TE,Irv Smith Jr.,7,16,MIN,2,-2,4040980,353,155,-198,0,0,0
3,TE,Rob Gronkowski,9,15,TB,3,-3,13229,180,125,-55,0,1,1
3,RB,Antonio Gibson,9,11,WAS,3,1,4360294,14,19,5,43,43,0
3,RB,Chris Carson,9,15,SEA,1,1,3919596,37,43,6,22,22,0
3,RB,Joe Mixon,10,13,CIN,3,0,3116385,22,25,3,33,35,2
3,RB,Clyde Edwards-Helaire,12,14,KC,4,0,4242214,23,29,6,32,33,1
3,RB,Najee Harris,7,12,PIT,5,-1,4241457,15,17,2,42,45,3
3,QB,Kirk Cousins,7,16,MIN,3,2,14880,312,163,-149,0,0,0
3,QB,Ryan Tannehill,13,10,TEN,2,1,14876,139,111,-28,2,3,1
3,QB,Jalen Hurts,14,11,PHI,4,1,4040715,135,104,-31,2,3,1
3,QB,Matt Ryan,6,14,ATL,3,1,11237,191,155,-36,0,1,1
3,QB,Tom Brady,9,9,TB,2,0,2330,127,69,-58,2,7,5
3,QB,Joe Burrow,10,13,CIN,2,0,3915511,162,124,-38,1,2,1
3,QB,Trevor Lawrence,7,15,JAC,4,-1,4360310,168,134,-34,1,2,1
3,QB,Matthew Stafford,11,12,LAR,4,-2,12483,141,101,-40,2,4,2
3,K,Robbie Gould,6,10,SF,4,6,9354,411,169,-242,0,0,0
3,K,Brandon McManus,11,14,DEN,1,1,16339,246,146,-100,1,1,0
3,K,Jason Myers,9,11,SEA,4,0,2473037,243,131,-112,1,1,0
3,K,Mason Crosby,13,12,GB,0,-2,10636,495,168,-327,0,0,0
3,K,Matt Gay,11,15,LAR,5,-3,4249087,251,146,-105,1,1,0
3,K,Daniel Carlson,8,13,LV,2,-4,3051909,318,169,-149,0,0,0
3,DST,Chiefs D/ST,12,10,KC,1,3,-16012,426,167,-259,0,0,0
3,DST,Saints D/ST,6,11,NO,3,3,-16018,317,166,-151,0,0,0
3,DST,Patriots D/ST,14,9,NE,0,0,-16017,235,145,-90,1,1,0
3,DST,Dolphins D/ST,14,12,MIA,2,0,-16015,316,166,-150,0,0,0
3,DST,Bills D/ST,7,8,BUF,3,-1,-16002,230,121,-109,1,1,0
3,DST,Broncos D/ST,11,13,DEN,2,-3,-16007,234,143,-91,1,1,0
3,DST,Browns D/ST,13,14,CLE,3,-3,-16005,237,150,-87,1,0,-1
4,WR,DJ Moore,13,17,CAR,5,5,3915416,44,58,14,17,13,-4
4,WR,Odell Beckham Jr.,13,25,CLE,1,2,16733,58,70,12,10,9,-1
4,WR,Tee Higgins,10,23,CIN,2,1,4239993,46,65,19,15,10,-5
4,WR,Tyler Lockett,9,20,SEA,1,0,2577327,40,49,9,20,16,-4
4,WR,Diontae Johnson,7,21,PIT,2,0,3932905,41,56,15,19,13,-6
4,WR,Cooper Kupp,11,19,LAR,5,-1,2977187,42,50,8,19,16,-3
4,WR,Brandon Aiyuk,6,24,SF,5,-1,4360438,45,64,19,17,11,-6
4,WR,Chase Claypool,7,26,PIT,2,-1,4046692,70,77,7,7,6,-1
4,WR,Julio Jones,13,18,TEN,3,-2,13982,43,50,7,18,17,-1
4,WR,Adam Thielen,7,22,MIN,3,-3,16460,38,46,8,21,18,-3
4,TE,Cole Kmet,10,19,CHI,1,11,4258595,217,167,-50,0,0,0
4,TE,Austin Hooper,13,22,CLE,2,7,3043275,161,149,-12,1,0,-1
4,TE,Anthony Firkser,13,24,TEN,2,4,3049698,220,169,-51,0,0,0
4,TE,Blake Jarwin,7,21,DAL,2,3,2991767,351,169,-182,0,0,0
4,TE,Dan Arnold,13,30,CAR,4,3,4212989,417,170,-247,0,0,0
4,TE,O.J. Howard,9,29,TB,3,2,3043080,365,169,-196,0,0,0
4,TE,Jared Cook,7,20,LAC,3,0,12537,302,167,-135,0,0,0
4,TE,Hayden Hurst,6,27,ATL,2,-2,3924365,415,170,-245,0,0,0
4,TE,Dawson Knox,7,28,BUF,2,-2,3930086,419,169,-250,0,0,0
4,TE,Adam Trautman,6,25,NO,4,-3,3911853,350,170,-180,0,0,0
4,TE,Eric Ebron,7,26,PIT,5,-3,16732,184,163,-21,0,0,0
4,TE,Zach Ertz,14,23,PHI,3,-6,15835,219,162,-57,0,0,0
4,RB,Gus Edwards,8,23,BAL,4,13,3051926,53,94,41,12,9,-3
4,RB,James Robinson,7,18,JAC,4,2,4052042,30,33,3,26,26,0
4,RB,Mike Davis,6,22,ATL,2,2,3025433,76,74,-2,6,8,2
4,RB,D'Andre Swift,9,17,DET,0,1,4259545,36,48,12,22,18,-4
4,RB,Miles Sanders,14,19,PHI,3,0,4045163,32,38,6,25,23,-2
4,RB,Darrell Henderson Jr.,11,21,LAR,4,0,4039359,100,95,-5,3,5,2
4,RB,Damien Harris,14,26,NE,3,0,3925347,77,81,4,6,7,1
4,RB,David Montgomery,10,16,CHI,3,-1,4035538,31,36,5,26,25,-1
4,RB,Kareem Hunt,13,24,CLE,4,-1,3059915,55,62,7,11,11,0
4,RB,Josh Jacobs,8,20,LV,2,-3,4047365,47,43,-4,15,20,5
4,RB,Myles Gaskin,14,25,MIA,4,-3,3886818,56,69,13,10,10,0
4,QB,Daniel Jones,10,24,NYG,4,7,3917792,303,168,-135,0,0,0
4,QB,Ryan Fitzpatrick,9,19,WAS,4,6,8664,314,166,-148,0,0,0
4,QB,Sam Darnold,13,27,CAR,4,5,3912547,389,169,-220,0,0,0
4,QB,Tua Tagovailoa,14,17,MIA,4,4,4241479,164,147,-17,1,1,0
4,QB,Carson Wentz,14,26,IND,4,2,2573079,381,169,-212,0,0,0
4,QB,Derek Carr,8,22,LV,3,1,16757,344,166,-178,0,0,0
4,QB,Ben Roethlisberger,7,20,PIT,4,-1,5536,221,158,-63,0,0,0
4,QB,Zach Wilson,6,28,NYJ,3,-1,4361259,348,167,-181,0,0,0
4,QB,Baker Mayfield,13,18,CLE,3,-2,3052587,185,134,-51,0,1,1
4,QB,Trey Lance,6,23,SF,5,-3,4383351,189,157,-32,0,1,1
4,QB,Jameis Winston,6,25,NO,3,-3,2969939,342,160,-182,0,1,1
4,QB,Justin Fields,10,21,CHI,2,-4,4362887,187,145,-42,0,1,1
4,K,Jake Elliott,14,19,PHI,4,13,3050478,499,169,-330,0,0,0
4,K,Dustin Hopkins,9,18,WAS,2,11,15965,412,170,-242,0,0,0
4,K,Josh Lambo,7,21,JAC,5,4,2998120,256,169,-87,0,0,0
4,K,Ka'imi Fairbairn,10,23,HOU,3,4,2971573,493,169,-324,0,0,0
4,K,Chris Boswell,7,17,PIT,2,1,17372,497,169,-328,0,0,0
4,K,Cairo Santos,10,24,CHI,2,-4,17427,496,169,-327,0,0,0
4,K,Graham Gano,10,22,NYG,2,-5,12460,242,141,-101,1,1,0
4,K,Wil Lutz,6,20,NO,4,-6,2985659,504,169,-335,0,0,0
4,DST,Chargers D/ST,7,15,LAC,4,9,-16024,511,169,-342,0,0,0
4,DST,Eagles D/ST,14,21,PHI,4,4,-16021,513,169,-344,0,0,0
4,DST,Bears D/ST,10,16,CHI,2,2,-16003,359,168,-191,0,0,0
4,DST,Vikings D/ST,7,19,MIN,3,2,-16016,239,167,-72,0,0,0
4,DST,Giants D/ST,10,22,NYG,4,1,-16019,409,170,-239,0,0,0
4,DST,Packers D/ST,13,17,GB,5,-2,-16009,358,168,-190,0,0,0
4,DST,Seahawks D/ST,9,18,SEA,4,-2,-16026,509,169,-340,0,0,0
4,DST,Cardinals D/ST,12,20,ARI,3,-3,-16022,410,169,-241,0,0,0
5,WR,Brandin Cooks,10,34,HOU,3,5,16731,79,90,11,6,3,-3
5,WR,Corey Davis,6,36,NYJ,4,5,3042778,99,108,9,4,2,-2
5,WR,William Fuller V,14,37,MIA,3,5,3052876,78,96,18,6,3,-3
5,WR,Tyler Boyd,10,33,CIN,2,4,3045144,80,96,16,6,3,-3
5,WR,Jerry Jeudy,11,28,DEN,4,2,4241463,68,75,7,7,7,0
5,WR,Courtland Sutton,11,32,DEN,4,2,3128429,61,83,22,9,5,-4
5,WR,Kenny Golladay,10,27,NYG,3,1,2974858,57,76,19,10,7,-3
5,WR,Robby Anderson,13,30,CAR,5,1,2574808,60,77,17,9,6,-3
5,WR,JuJu Smith-Schuster,7,31,PIT,2,1,3120348,59,71,12,10,7,-3
5,WR,Deebo Samuel,6,35,SF,5,0,3126486,87,102,15,4,2,-2
5,WR,DJ Chark Jr.,7,38,JAC,5,0,3115394,96,114,18,4,2,-2
5,WR,Laviska Shenault Jr.,7,41,JAC,5,-1,4243160,81,98,17,5,3,-2
5,WR,Ja'Marr Chase,10,29,CIN,2,-3,4362628,71,83,12,7,5,-2
5,WR,Antonio Brown,9,40,TB,2,-4,13934,107,111,4,3,2,-1
5,WR,DeVonta Smith,14,39,PHI,3,-6,4241478,86,93,7,5,4,-1
5,TE,Kyle Rudolph,10,34,NYG,3,17,14054,460,169,-291,0,0,0
5,TE,Jack Doyle,14,32,IND,4,11,16504,413,170,-243,0,0,0
5,TE,Chris Herndon,7,33,MIN,2,8,3123050,467,170,-297,0,0,0
5,TE,Will Dissly,9,41,SEA,1,5,3127292,444,170,-274,0,0,0
5,TE,Jimmy Graham,10,31,CHI,1,1,13232,446,169,-277,0,0,0
5,TE,Dalton Schultz,7,35,DAL,2,1,3117256,418,170,-248,0,0,0
5,TE,Donald Parham Jr.,7,39,LAC,3,0,3912092,442,170,-272,0,0,0
5,TE,Mo Alie-Cox,14,38,IND,4,-3,2998565,468,169,-299,0,0,0
5,TE,Jordan Akins,10,40,HOU,4,-13,3128452,366,170,-196,0,0,0
