round_num,round_pick,overall_pick,team_id,team_abbr,team_name,nominating_team_name,nominating_team_id,player_id,player_name,bid_amount
1,1,1,1,LI,Fully  Maccinated,Raiders Are Good,11,3117251,Christian McCaffrey,74
1,2,2,18,BARR,Team barrett,Rippin' Swigs,2,3929630,Saquon Barkley,50
1,3,3,13,COOK,Too Many Cooks,Elite starts  with Eli,15,16800,Davante Adams,52
1,4,4,10,SPNY,Spenny Willy,Federal Way Yu,19,15847,Travis Kelce,47
1,5,5,10,SPNY,Spenny Willy,Team barrett,18,3054850,Alvin Kamara,62
1,6,6,15,LESS,Elite starts  with Eli,Draftin Herbert First Pick,16,4047650,DK Metcalf,39
1,7,7,16,Jake,Draftin Herbert First Pick,Too Many Cooks,13,3043078,Derrick Henry,68
1,8,8,19,Yu,Federal Way Yu,Spenny Willy,10,3116593,Dalvin Cook,69
1,9,9,2,SWIG,Rippin' Swigs,Seattle Fantasy Team,3,3051392,Ezekiel Elliott,53
1,10,10,15,LESS,Elite starts  with Eli,Herb Your Enthusiasm,12,4242335,Jonathan Taylor,52
1,11,11,3,GORO,Seattle Fantasy Team,Scooty Lewis and the News,17,15795,DeAndre Hopkins,39
1,12,12,19,Yu,Federal Way Yu,Fully  Maccinated,1,3139477,Patrick Mahomes,20
2,1,13,11,DARR,Raiders Are Good,Raiders Are Good,11,4047365,Josh Jacobs,24
2,2,14,19,Yu,Federal Way Yu,Rippin' Swigs,2,3116406,Tyreek Hill,53
2,3,15,12,Herb,Herb Your Enthusiasm,Elite starts  with Eli,15,4038941,Justin Herbert,14
2,4,16,2,SWIG,Rippin' Swigs,Federal Way Yu,19,3042519,Aaron Jones,53
2,5,17,3,GORO,Seattle Fantasy Team,Team barrett,18,3068267,Austin Ekeler,51
2,6,18,2,SWIG,Rippin' Swigs,Draftin Herbert First Pick,16,14881,Russell Wilson,13
2,7,19,12,Herb,Herb Your Enthusiasm,Too Many Cooks,13,3128720,Nick Chubb,52
2,8,20,3,GORO,Seattle Fantasy Team,Spenny Willy,10,4360294,Antonio Gibson,40
2,9,21,19,Yu,Federal Way Yu,Seattle Fantasy Team,3,3059915,Kareem Hunt,11
2,10,22,11,DARR,Raiders Are Good,Herb Your Enthusiasm,12,2576925,Darren Waller,33
2,11,23,3,GORO,Seattle Fantasy Team,Scooty Lewis and the News,17,4262921,Justin Jefferson,34
2,12,24,16,Jake,Draftin Herbert First Pick,Fully  Maccinated,1,4259545,D'Andre Swift,22
3,1,25,12,Herb,Herb Your Enthusiasm,Raiders Are Good,11,4047646,A.J. Brown,40
3,2,26,17,QWER,Scooty Lewis and the News,Rippin' Swigs,2,3918298,Josh Allen,20
3,3,27,1,LI,Fully  Maccinated,Elite starts  with Eli,15,16737,Mike Evans,25
3,4,28,10,SPNY,Spenny Willy,Federal Way Yu,19,3919596,Chris Carson,27
3,5,29,18,BARR,Team barrett,Team barrett,18,4052042,James Robinson,27
3,6,30,17,QWER,Scooty Lewis and the News,Draftin Herbert First Pick,16,3116385,Joe Mixon,39
3,7,31,13,COOK,Too Many Cooks,Too Many Cooks,13,4241457,Najee Harris,55
3,8,32,1,LI,Fully  Maccinated,Spenny Willy,10,3925347,Damien Harris,18
3,9,33,11,DARR,Raiders Are Good,Seattle Fantasy Team,3,2979843,Kenyan Drake,8
3,10,34,11,DARR,Raiders Are Good,Herb Your Enthusiasm,12,3121422,Terry McLaurin,28
3,11,35,15,LESS,Elite starts  with Eli,Scooty Lewis and the News,17,4242214,Clyde Edwards-Helaire,34
3,12,36,2,SWIG,Rippin' Swigs,Fully  Maccinated,1,3040151,George Kittle,29
4,1,37,1,LI,Fully  Maccinated,Raiders Are Good,11,3916387,Lamar Jackson,11
4,2,38,10,SPNY,Spenny Willy,Rippin' Swigs,2,4045163,Miles Sanders,25
4,3,39,11,DARR,Raiders Are Good,Elite starts  with Eli,15,3917315,Kyler Murray,22
4,4,40,12,Herb,Herb Your Enthusiasm,Federal Way Yu,19,4046692,Chase Claypool,11
4,5,41,18,BARR,Team barrett,Team barrett,18,2976212,Stefon Diggs,45
4,6,42,16,Jake,Draftin Herbert First Pick,Draftin Herbert First Pick,16,4035538,David Montgomery,27
4,7,43,17,QWER,Scooty Lewis and the News,Too Many Cooks,13,3925357,Calvin Ridley,39
4,8,44,1,LI,Fully  Maccinated,Spenny Willy,10,2577327,Tyler Lockett,19
4,9,45,17,QWER,Scooty Lewis and the News,Seattle Fantasy Team,3,2976499,Amari Cooper,24
4,10,46,12,Herb,Herb Your Enthusiasm,Herb Your Enthusiasm,12,-16033,Ravens D/ST,1
4,11,47,13,COOK,Too Many Cooks,Scooty Lewis and the News,17,3119195,Chase Edmonds,11
4,12,48,18,BARR,Team barrett,Fully  Maccinated,1,2577417,Dak Prescott,6
5,1,49,19,Yu,Federal Way Yu,Raiders Are Good,11,8439,Aaron Rodgers,5
5,2,50,1,LI,Fully  Maccinated,Rippin' Swigs,2,3051926,Gus Edwards,14
5,3,51,15,LESS,Elite starts  with Eli,Elite starts  with Eli,15,3116165,Chris Godwin,24
5,4,52,10,SPNY,Spenny Willy,Federal Way Yu,19,-16027,Buccaneers D/ST,3
5,5,53,18,BARR,Team barrett,Team barrett,18,15818,Keenan Allen,32
5,6,54,11,DARR,Raiders Are Good,Draftin Herbert First Pick,16,4361579,Javonte Williams,9
5,7,55,13,COOK,Too Many Cooks,Too Many Cooks,13,4360310,Trevor Lawrence,1
5,8,56,2,SWIG,Rippin' Swigs,Spenny Willy,10,16799,Allen Robinson II,24
5,9,57,16,Jake,Draftin Herbert First Pick,Seattle Fantasy Team,3,16733,Odell Beckham Jr.,15
5,10,58,16,Jake,Draftin Herbert First Pick,Herb Your Enthusiasm,12,4239993,Tee Higgins,14
5,11,59,19,Yu,Federal Way Yu,Scooty Lewis and the News,17,3116365,Mark Andrews,17
5,12,60,17,QWER,Scooty Lewis and the News,Fully  Maccinated,1,13982,Julio Jones,18
6,1,61,13,COOK,Too Many Cooks,Raiders Are Good,11,4241389,CeeDee Lamb,25
6,2,62,17,QWER,Scooty Lewis and the News,Rippin' Swigs,2,15880,Robert Woods,22
6,3,63,15,LESS,Elite starts  with Eli,Elite starts  with Eli,15,3915511,Joe Burrow,3
6,4,64,19,Yu,Federal Way Yu,Federal Way Yu,19,-16002,Bills D/ST,1
6,5,65,1,LI,Fully  Maccinated,Team barrett,18,4360248,Kyle Pitts,15
6,6,66,18,BARR,Team barrett,Draftin Herbert First Pick,16,3120348,JuJu Smith-Schuster,7
6,7,67,12,Herb,Herb Your Enthusiasm,Too Many Cooks,13,-16025,49ers D/ST,2
6,8,68,17,QWER,Scooty Lewis and the News,Spenny Willy,10,14876,Ryan Tannehill,6
6,9,69,10,SPNY,Spenny Willy,Seattle Fantasy Team,3,3128429,Courtland Sutton,11
6,10,70,17,QWER,Scooty Lewis and the News,Herb Your Enthusiasm,12,3886818,Myles Gaskin,16
6,11,71,12,Herb,Herb Your Enthusiasm,Scooty Lewis and the News,17,3915416,DJ Moore,16
6,12,72,17,QWER,Scooty Lewis and the News,Fully  Maccinated,1,2576414,Raheem Mostert,7
7,1,73,11,DARR,Raiders Are Good,Raiders Are Good,11,4241475,Henry Ruggs III,5
7,2,74,11,DARR,Raiders Are Good,Rippin' Swigs,2,16460,Adam Thielen,19
7,3,75,15,LESS,Elite starts  with Eli,Elite starts  with Eli,15,3055899,Harrison Butker,3
7,4,76,18,BARR,Team barrett,Federal Way Yu,19,3049899,Younghoe Koo,2
7,5,77,19,Yu,Federal Way Yu,Team barrett,18,4362628,Ja'Marr Chase,8
7,6,78,11,DARR,Raiders Are Good,Draftin Herbert First Pick,16,4360438,Brandon Aiyuk,19
7,7,79,13,COOK,Too Many Cooks,Too Many Cooks,13,-16014,Rams D/ST,1
7,8,80,18,BARR,Team barrett,Spenny Willy,10,3045144,Tyler Boyd,5
7,9,81,12,Herb,Herb Your Enthusiasm,Seattle Fantasy Team,3,4243160,Laviska Shenault Jr.,4
7,10,82,3,GORO,Seattle Fantasy Team,Herb Your Enthusiasm,12,3115364,Leonard Fournette,6
