tiers,pos,name,bye,rk,team,sos,ecr_vs_adp
1,WR,Davante Adams,13,1,GB,1,0
1,WR,Tyreek Hill,12,2,KC,3,0
1,WR,Stefon Diggs,7,3,BUF,3,0
1,TE,Mark Andrews,8,4,BAL,4,1
1,TE,T.J. Hockenson,9,5,DET,4,1
1,TE,Travis Kelce,12,1,KC,3,0
1,TE,Darren Waller,8,2,LV,4,0
1,TE,George Kittle,6,3,SF,4,0
1,TE,Kyle Pitts,6,6,ATL,2,-2
1,RB,Alvin Kamara,6,3,NO,2,1
1,RB,Christian McCaffrey,13,1,CAR,2,0
1,RB,Dalvin Cook,7,2,MIN,3,0
1,RB,Derrick Henry,13,4,TEN,3,-1
1,QB,Patrick Mahomes II,12,1,KC,4,0
1,QB,Josh Allen,7,2,BUF,1,0
1,QB,Kyler Murray,12,3,ARI,2,0
1,QB,Lamar Jackson,8,4,BAL,2,0
1,K,Justin Tucker,8,1,BAL,4,0
1,K,Harrison Butker,12,2,KC,2,0
1,K,Younghoe Koo,6,3,ATL,3,0
1,DST,Washington Football Team,9,3,WAS,2,2
1,DST,Los Angeles Rams,11,1,LAR,3,1
1,DST,Pittsburgh Steelers,7,2,PIT,2,-1
1,DST,Baltimore Ravens,8,4,BAL,2,-1
2,WR,Calvin Ridley,6,4,ATL,4,1
2,WR,A.J. Brown,13,7,TEN,3,1
2,WR,D.K. Metcalf,9,6,SEA,1,0
2,WR,Keenan Allen,7,9,LAC,3,0
2,WR,DeAndre Hopkins,12,5,ARI,2,-1
2,WR,Justin Jefferson,7,8,MIN,3,-1
2,TE,Noah Fant,11,7,DEN,4,1
2,TE,Robert Tonyan,13,9,GB,3,0
2,TE,Dallas Goedert,14,10,PHI,3,0
2,TE,Tyler Higbee,11,11,LAR,2,0
2,TE,Logan Thomas,9,8,WAS,3,-1
2,RB,Aaron Jones,13,6,GB,0,1
2,RB,Saquon Barkley,10,7,NYG,2,1
2,RB,Jonathan Taylor,14,8,IND,4,1
2,RB,Ezekiel Elliott,7,5,DAL,2,0
2,RB,Austin Ekeler,7,10,LAC,4,0
2,RB,Nick Chubb,13,9,CLE,4,-3
2,QB,Dak Prescott,7,5,DAL,2,1
2,QB,Russell Wilson,9,6,SEA,0,1
2,QB,Justin Herbert,7,8,LAC,2,0
2,QB,Aaron Rodgers,13,7,GB,2,-2
2,K,Matt Prater,12,8,ARI,4,5
2,K,Greg Zuerlein,7,4,DAL,4,2
2,K,Jason Sanders,14,5,MIA,4,0
2,K,Rodrigo Blankenship,14,7,IND,3,0
2,K,Ryan Succop,9,9,TB,2,-1
