id,name,position,team,total_points,projected_total_points,rank
3054850,Alvin Kamara,RB,NO,336.3,252.66,1
3051392,Ezekiel Elliott,RB,DAL,197.7,269.38,11
13982,Julio Jones,WR,ATL,120.6,208.94,53
-16033,Ravens D/ST,D/ST,BAL,145.0,141.04,5
3121023,Dallas Goedert,TE,PHI,93.4,100.13,20
4052042,James Robinson,RB,JAX,225.9,95.05,7
3128390,Allen Lazard,WR,GB,81.3,109.44,78
3139477,Patrick Mahomes,QB,KC,374.4,340.97,4
2468609,Taysom Hill,QB,NO,152.62,65.29,29
2972460,Breshad Perriman,WR,NYJ,84.1,132.63,75
3915823,Keke Coutee,WR,HOU,70.5,0.0,90
12731,Ryan Succop,K,TB,142.0,120.16,7
3134353,Tim Patrick,WR,DEN,135.7,0.0,41
2969962,Duke Johnson,RB,None,70.4,129.17,60
3115378,Russell Gage,WR,ATL,145.06,106.09,37
3916433,Jakobi Meyers,WR,NE,113.02,55.72,57
4242214,Clyde Edwards-Helaire,RB,KC,158.0,241.08,22
3116165,Chris Godwin,WR,TB,158.5,202.36,32
3919596,Chris Carson,RB,SEA,169.3,205.93,17
2577327,Tyler Lockett,WR,SEA,215.4,181.01,9
3924365,Hayden Hurst,TE,ATL,121.1,115.58,9
3128720,Nick Chubb,RB,CLE,199.7,228.47,9
15818,Keenan Allen,WR,LAC,195.1,171.7,14
-16011,Colts D/ST,D/ST,IND,157.0,141.48,3
3049899,Younghoe Koo,K,ATL,166.0,124.78,2
2576716,Jamison Crowder,WR,NYJ,142.52,152.46,39
2975674,Robert Tonyan,TE,GB,150.6,33.12,3
-16027,Buccaneers D/ST,D/ST,TB,127.0,124.82,7
-16025,49ers D/ST,D/ST,SF,101.0,146.31,16
2580,Drew Brees,QB,NO,209.48,268.68,21
4035403,Denzel Mims,WR,NYJ,49.2,89.05,108
12483,Matthew Stafford,QB,LAR,260.56,267.53,15
14881,Russell Wilson,QB,SEA,359.78,294.26,6
16737,Mike Evans,WR,TB,213.6,190.64,10
3120348,JuJu Smith-Schuster,WR,PIT,185.6,183.05,18
-16002,Bills D/ST,D/ST,BUF,117.0,152.15,9
16731,Brandin Cooks,WR,HOU,191.5,132.8,15
3059915,Kareem Hunt,RB,CLE,199.5,147.41,10
3045147,James Conner,RB,PIT,147.1,178.22,26
3121427,Curtis Samuel,WR,CAR,173.6,127.75,25
13934,Antonio Brown,WR,TB,94.6,0.0,66
16732,Eric Ebron,TE,PIT,113.8,95.59,15
-16005,Browns D/ST,D/ST,CLE,100.0,109.94,17
4240380,KJ Hamler,WR,DEN,75.1,58.22,86
4035676,Zack Moss,RB,BUF,94.6,125.69,45
9354,Robbie Gould,K,SF,102.0,126.21,24
3052117,Phillip Lindsay,RB,DEN,62.5,138.32,65
3117251,Christian McCaffrey,RB,CAR,81.9,289.86,53
3916387,Lamar Jackson,QB,BAL,332.78,339.52,10
15795,DeAndre Hopkins,WR,ARI,230.3,201.15,5
2974858,Kenny Golladay,WR,DET,55.8,179.28,102
3115394,DJ Chark Jr.,WR,JAX,127.1,168.99,49
13229,Rob Gronkowski,TE,TB,126.8,116.25,8
3912550,Ronald Jones II,RB,TB,172.3,142.84,16
15683,Justin Tucker,K,BAL,142.0,135.22,8
3045127,Wayne Gallman,RB,NYG,126.1,20.92,32
2971618,Nelson Agholor,WR,OAK,161.6,39.94,29
3122976,Jeff Wilson Jr.,RB,SF,135.8,15.14,30
4243315,Salvon Ahmed,RB,MIA,63.5,0.0,64
4259979,Lynn Bowden Jr.,RB,MIA,39.58,19.12,80
-16022,Cardinals D/ST,D/ST,ARI,111.0,88.56,12
3128721,Sony Michel,RB,NE,71.8,93.52,59
4241475,Henry Ruggs III,WR,OAK,71.1,128.91,89
2976316,Michael Thomas,WR,NO,63.9,245.93,98
4045163,Miles Sanders,RB,PHI,156.4,222.61,23
2576925,Darren Waller,TE,OAK,225.1,152.22,2
3122840,Deshaun Watson,QB,HOU,369.32,319.41,5
2576414,Raheem Mostert,RB,SF,91.7,151.65,48
2574808,Robby Anderson,WR,CAR,176.6,140.15,24
3025433,Mike Davis,RB,CAR,177.0,48.52,15
4360438,Brandon Aiyuk,WR,SF,154.5,102.82,33
12460,Graham Gano,K,NYG,132.0,119.12,11
3910544,Joshua Kelley,RB,LAC,69.7,75.15,62
-16015,Dolphins D/ST,D/ST,MIA,127.0,104.29,8
2979843,Kenyan Drake,RB,ARI,179.7,218.63,14
3925347,Damien Harris,RB,NE,88.8,78.23,50
4036348,Michael Gallup,WR,DAL,143.8,168.21,38
4242335,Jonathan Taylor,RB,IND,234.8,170.06,6
16800,Davante Adams,WR,GB,300.9,207.38,1
8439,Aaron Rodgers,QB,GB,382.76,264.22,2
3915416,DJ Moore,WR,CAR,178.5,186.86,22
3917315,Kyler Murray,QB,ARI,378.74,299.65,3
2508176,David Johnson,RB,HOU,163.0,215.43,19
4241389,CeeDee Lamb,WR,DAL,180.7,123.97,20
3042778,Corey Davis,WR,TEN,158.9,101.17,31
3051909,Daniel Carlson,K,OAK,153.0,114.43,3
-16026,Seahawks D/ST,D/ST,SEA,95.0,118.42,20
16813,Logan Thomas,TE,WSH,140.62,63.71,6
15825,Le'Veon Bell,RB,KC,66.6,178.81,63
4039359,Darrell Henderson Jr.,RB,LAR,122.3,106.85,36
3886818,Myles Gaskin,RB,MIA,143.7,20.71,27
-16020,Jets D/ST,D/ST,NYJ,58.0,92.79,25
3116593,Dalvin Cook,RB,MIN,315.8,257.43,3
2576434,Melvin Gordon III,RB,DEN,182.4,176.13,13
16460,Adam Thielen,WR,MIN,217.0,191.7,8
2330,Tom Brady,QB,TB,337.92,290.31,8
10636,Mason Crosby,K,GB,120.0,119.4,19
3126486,Deebo Samuel,WR,SF,64.2,152.31,97
12649,Julian Edelman,WR,NE,45.72,158.46,110
12537,Jared Cook,TE,None,108.9,126.91,17
3052876,Will Fuller V,WR,HOU,162.4,183.56,28
-16003,Bears D/ST,D/ST,CHI,100.0,128.18,18
3046779,Jared Goff,QB,DET,239.98,243.54,19
4239993,Tee Higgins,WR,CIN,161.1,72.38,30
3054212,Jonnu Smith,TE,TEN,119.7,92.74,10
4040655,Darnell Mooney,WR,CHI,121.6,10.1,51
4035004,Mecole Hardman,WR,KC,107.6,62.19,58
-16014,Rams D/ST,D/ST,LAR,174.0,109.54,1
4047365,Josh Jacobs,RB,OAK,214.8,222.45,8
3040151,George Kittle,TE,SF,101.1,183.27,19
4047650,DK Metcalf,WR,SEA,229.8,168.79,7
3116406,Tyreek Hill,WR,KC,285.4,213.03,2
3055899,Harrison Butker,K,KC,132.0,142.27,12
2976212,Stefon Diggs,WR,BUF,265.1,158.19,3
16804,John Brown,WR,BUF,80.3,137.22,80
4036133,T.J. Hockenson,TE,DET,141.8,115.25,4
3916430,Nyheim Hines,RB,IND,161.7,109.0,20
11674,Danny Amendola,WR,DET,83.4,107.79,76
2572861,J.D. McKissic,RB,WSH,151.4,57.59,24
15826,Giovani Bernard,RB,CIN,134.6,73.26,31
