name,team,pos,tier,bye,adp,rank,diff,auc,round_rec,notes
Patrick Mahomes II,KC,QB,1,12,19,26,-7,30,start 3,rush 500 yards
Josh Allen,BUF,QB,1,7,33,31,2,27,start 3,very over valued
Kyler Murray,ARI,QB,2,12,41,54,-13,15,5,over valued
Aaron Rodgers,GB,QB,2,13,66,60,6,13,5,over valued
Lamar Jackson,BAL,QB,2,8,47,64,-17,13,5,over valued
Dak Prescott,DAL,QB,2,7,51,68,-17,11,5,maybe a comeback season
Russell Wilson,SEA,QB,3,9,60,71,-11,11,,"shane waldron, otherwise not much value"
Tom Brady,TB,QB,3,9,77,75,2,8,,probably will regress from crazy numbers last year
Justin Herbert,LAC,QB,3,7,60,78,-18,8,,"not much value, breakout year 2"
Ryan Tannehill,TEN,QB,4,13,96,113,-17,1,,solid but doesn't throw for many yards
Jalen Hurts,PHI,QB,4,14,85,138,-53,0,,"who knows, PHI wanted to trade for DeShaun Watson still"
Matthew Stafford,LAR,QB,4,11,93,138,-45,0,,
Joe Burrow,CIN,QB,4,10,102,138,-36,0,,
Kirk Cousins,MIN,QB,4,7,145,138,7,0,,
Matt Ryan,ATL,QB,4,6,126,138,-12,0,,
Trevor Lawrence,JAC,QB,4,7,129,138,-9,0,,
Baker Mayfield,CLE,QB,5,13,140,138,2,0,,
Derek Carr,LV,QB,5,8,185,138,47,0,,
Tua Tagovailoa,MIA,QB,5,14,173,138,35,0,,
Ben Roethlisberger,PIT,QB,5,7,160,138,22,0,,
Ryan Fitzpatrick,WAS,QB,5,9,164,138,26,0,,
Daniel Jones,NYG,QB,5,10,228,138,90,0,,
Travis Kelce,KC,TE,1,12,10,6,4,52,mid/late 1,1400 total yards
George Kittle,SF,TE,2,6,26,21,5,34,end 2,lot of upside
Darren Waller,LV,TE,2,8,26,23,3,32,end 2,"lot of upside, maybe health issues"
Mark Andrews,BAL,TE,3,8,51,46,5,19,mid 4,"undervalued, 800 yards"
