tier,name,team,bye,Adp,rk,diff,auc
1,Christian McCaffrey,CAR,13,1,1,0,86
1,Dalvin Cook,MIN,7,2,2,0,70
1,Derrick Henry,TEN,13,3,3,0,60
1,Alvin Kamara,NO,6,4,4,0,58
2,Saquon Barkley,NYG,10,6,8,-2,52
2,Ezekiel Elliott,DAL,7,6,9,-3,47
2,Aaron Jones,GB,13,11,11,0,46
2,Jonathan Taylor,IND,14,6,12,-6,45
3,Austin Ekeler,LAC,7,14,14,0,43
3,Nick Chubb,CLE,13,7,15,-8,41
3,Joe Mixon,CIN,10,19,17,2,39
3,Najee Harris,PIT,7,17,18,-1,37
3,Antonio Gibson,WAS,9,16,21,-5,34
3,D’Andre Swift,DET,9,32,25,7,31
3,Clyde Edwards-Helaire,KC,12,23,27,-4,30
4,Chris Carson,SEA,9,33,28,5,28
4,David Montgomery,CHI,10,31,30,1,27
4,J.K. Dobbins,BAL,8,25,32,-7,26
4,Josh Jacobs,LV,8,31,36,-5,24
4,Miles Sanders,PHI,14,33,38,-5,22
4,Myles Gaskin,MIA,14,44,40,4,21
4,Darrell Henderson,LAR,11,61,42,19,20
5,Mike Davis,ATL,6,57,47,10,18
5,Chase Edmonds,ARI,12,63,50,13,17
5,Travis Etienne,JAX,7,64,55,9,15
5,Kareem Hunt,CLE,13,50,60,-10,12
5,Javonte Williams,DEN,11,66,68,-2,9
5,David Johnson,HOU,10,86,70,16,9
6,Raheem Mostert,SF,6,68,73,-5,8
6,James Robinson,JAX,7,50,76,-26,8
6,Leonard Fournette,TB,9,80,79,1,9
6,Damien Harris,NE,14,79,83,-4,6
6,Zack Moss,BUF,7,96,90,6,5
6,Melvin Gordon III,DEN,11,74,91,-17,5
